Category,Feature/Component,Description,Estimated Hours,Notes
UI Components - Atoms,ProgressLine,Progress bar component,0.25,"Visual progress indicator"
UI Components - Atoms,RotateArrow,Animated arrow indicator,0.25,"Rotation animation for expand/collapse"
UI Components - Atoms,SeperateLine,Divider component,0.25,"Themed line separator"
UI Components - Atoms,SnackBar,Toast notifications,0.5,"Toast message integration"
UI Components - Atoms,Switch,Toggle switch component,0.25,"On/off toggle with theming"
UI Components - Atoms,ThemedView,Themed container component,0.25,"Color scheme support, RTL layout"
UI Components - Atoms,ExternalLink,External link component,0.25,"Web link handling with target blank"
UI Components - Atoms,ParallaxScrollView,Animated scroll view,0.5,"Parallax effects, animated headers"

Layout Components,Container Component,Page container with max-width,0.5,"Responsive container with consistent padding"
Layout Components,Navbar Component,Navigation header bar,0.75,"Site-wide navigation with responsive menu"
Layout Components,Sidebar Component,Side navigation panel,0.75,"Collapsible sidebar for dashboard layouts"

UI Components - Shared,ConfirmDialog,Confirmation dialog component,0.5,"Confirm/cancel action dialog"
UI Components - Shared,DataTable,Data table component,0.75,"Sortable, filterable data display"
UI Components - Shared,EmptyState,Empty state placeholder,0.25,"No data placeholder with styling"

UI Components - Vendor/UI,Button (UI),Base UI button primitives,0.5,"Low-level button component"
UI Components - Vendor/UI,Icon (UI),Base UI icon primitives,0.25,"Low-level icon component"
UI Components - Vendor/UI,Image (UI),Base UI image primitives,0.25,"Low-level image component"
UI Components - Vendor/UI,Input (UI),Base UI input primitives,0.5,"Low-level input component"
UI Components - Vendor/UI,Modal (UI),Modal overlay component,0.5,"Modal dialog implementation"
UI Components - Vendor/UI,Spinner (UI),Loading spinner component,0.25,"Animated loading spinner"
UI Components - Vendor/UI,Text (UI),Base UI text primitives,0.25,"Low-level text component"

UI Components - Vendor,ReactICX Integration,Third-party component integration,0.5,"External component library setup"
UI Components - Vendor,Storybook Integration,Component documentation,0.75,"Storybook setup for component previews"

Wrapper Components,Card Wrapper,Reusable card container,0.5,"Styled card component with theming"
Wrapper Components,FlashList Wrapper,Optimized list component,0.75,"Performance optimized list with pagination, loading states"

Template Components,AuthScreenWrapper,Auth page layout template,0.5,"Authentication page wrapper with consistent styling"
Template Components,MainScreenWrapper,Main page layout template,0.5,"Main content wrapper with consistent padding and styling"
Template Components,NotificationListener,Push notification handler,0.75,"Notification reception, response handling, redirection"

Custom Hooks,useScreenSize,Responsive breakpoint hook,0.25,"Window size detection for responsive layouts"
Custom Hooks,useAbortableQuery,Cancellable API query hook,0.75,"Abortable RTK Query requests"
Custom Hooks,useAutoCompleteTranslation,Translation autocomplete hook,0.25,"Auto-complete for translation keys"
Custom Hooks,useColorScheme,Theme detection hook,0.25,"Light/dark mode detection and handling"
Custom Hooks,useBiometricLogin,Biometric authentication hook,0.5,"Biometric login logic (mobile web support)"
Custom Hooks,useCheckAuthToken,Authentication validation hook,0.5,"Token existence and validity checking"
Custom Hooks,useCheckingForcedUpdate,Force update detection hook,0.5,"App version update checking"
Custom Hooks,useCheckNewUpdate,Update notification hook,0.25,"New version detection and notification"
Custom Hooks,useFetchTranslation,Translation fetching hook,0.75,"Google Sheets translation fetching with caching"
Custom Hooks,useGetUserInfo,User information hook,0.25,"Fetch and cache current user data"
Custom Hooks,useInitialRouting,App routing logic hook,0.5,"Initial page determination based on auth state"
Custom Hooks,useLoadResources,Resource loading hook,0.5,"Font loading, splash screen management"
Custom Hooks,useNotificationsToken,Push notification token hook,0.5,"Device token registration and management"
Custom Hooks,usePagination,Pagination logic hook,0.75,"Generic pagination with loading states and refresh"
Custom Hooks,useThemeColor,Theme color hook,0.25,"Color scheme based styling"

API Integration,Domain Configuration,API base URL configuration,0.25,"Base URL, environment configuration"
API Integration,RTK Query API Setup,Central API definition,0.75,"Base query, tag types, reducers, middleware"
API Integration,Tag Types,RTK Query tag system,0.25,"Cache invalidation tags"
API Integration,Error Middleware,API error handling,0.5,"Global error handling, error messages"
API Integration,Auth Services,Authentication API services,0.5,"Login, logout, token refresh endpoints"
API Integration,Type Definitions,API response type definitions,0.5,"Auth types, general types, notification types"
API Integration,Server-side API Routes,Next.js API route handlers,0.5,"Proxy and server-side endpoints"

Utility Functions,CN Utility,ClassName merge utility,0.25,"clsx/classnames helper for conditional classes"
Utility Functions,Debounce Utility,Input debouncing function,0.25,"Performance optimization for inputs"
Utility Functions,Query Serialization,URL query parameter handling,0.25,"API query string generation"
Utility Functions,Shadow Styles,Cross-platform shadow styling,0.25,"CSS shadow compatibility"
Utility Functions,Theme Utils,Theme helper functions,0.25,"Theme switching, color management"
Utility Functions,Array to Options,Data transformation utility,0.25,"Convert arrays to select options"
Utility Functions,Handle Options,Option processing utility,0.25,"Option data manipulation"
Utility Functions,Pagination Merge,Infinite pagination handler,0.25,"Merge paginated responses"
Utility Functions,Index Checking,Array index utilities,0.25,"Last index checking"
Utility Functions,Auth Handlers,Login and logout flow handlers,0.5,"Login/logout flow management"
Utility Functions,Success Messages,Success notification utility,0.25,"Success message display"
Utility Functions,Notification Redirection,Deep linking handler,0.5,"Handle notification tap redirection"
Utility Functions,isDev Utility,Environment detection,0.25,"Development/production environment check"

Constants & Configuration,Colors System,Color palette and theming,0.5,"Light/dark theme colors, brand colors"
Constants & Configuration,Font Family,Typography system,0.25,"Font family definitions and weights"
Constants & Configuration,Global Styles,Shared styling system,0.5,"Common styles, layout utilities"
Constants & Configuration,Metrics,Design system measurements,0.25,"Spacing, sizing constants, responsive scaling"
Constants & Configuration,Important Variables,App-wide constants,0.25,"Configuration variables"
Constants & Configuration,List Data,Mock data for development,0.25,"Sample data for testing"
Constants & Configuration,Translation Config,Translation system configuration,0.25,"Google Sheets config, locales setup"
Constants & Configuration,Dayjs Arabic Localization,Arabic date localization,0.25,"Custom Arabic locale for dayjs"

Assets Management,Font Integration,Custom font implementation,0.25,"Google Fonts integration via next/font"
Assets Management,Icon System,SVG icon management,0.5,"Icon components, icon list generation script"
Assets Management,Image Assets,Image optimization and management,0.25,"Public assets, Next.js Image optimization"
Assets Management,SVG Assets,SVG component management,0.5,"SVG components with auto-generation script"

Pages - Authentication,Welcome Page,App introduction page,0.5,"Welcome flow, navigation to auth"
Pages - Authentication,Login Page,User authentication page,0.75,"Email/password login, form validation"
Pages - Authentication,Signup Page,User registration page,0.75,"Registration form, validation, terms acceptance"
Pages - Authentication,Forgot Password,Password reset page,0.5,"Password recovery flow"

Pages - Main Application,Home / Landing Page,Main landing page,0.75,"Feature showcase, call-to-action sections"
Pages - Main Application,Dashboard Page,User dashboard,0.75,"Dashboard layout with sidebar navigation"
Pages - Main Application,Sample Pages,Demo content pages,0.75,"Screen1, Screen2, Screen3 for demonstration"

AI Agent Support,.agent Directory,AI agent configuration files,0.25,"Agent workflows and developer skills"
AI Agent Support,AGENTS.md,AI agent instructions,0.25,"Agent behavior documentation"
AI Agent Support,CLAUDE.md,Claude-specific instructions,0.25,"Claude AI configuration"

Testing & Quality,TypeScript Strict Mode,Type safety enforcement,0.25,"Strict TypeScript configuration"
Testing & Quality,Error Boundaries,Error handling components,0.5,"Error.tsx and not-found.tsx pages"

Documentation,README Documentation,Project documentation,0.5,"Setup instructions, feature docs, project structure"
Documentation,Plop Generator Docs,Code generator documentation,0.25,"PLOP_GENERATOR.md with usage instructions"
Documentation,Code Comments,Inline documentation,0.5,"Component documentation, function comments"

TOTAL,,"Total Project Estimation",50,"Complete Next.js template with all features and components"
